1000 5000
29 685 3902
622 365 3279
647 780 561
932 910 3642
117 536 4338
731 949 353
444 166 996
870 406 593
644 89 2859
155 686 41
625 222 1610
13 308 3973
146 178 2211
461 505 1380
752 629 2706
678 61 4567
597 622 850
478 629 1553
184 805 598
845 977 4324
545 632 1856
603 546 3519
329 551 2824
829 1 2042
404 738 2386
516 734 3572
409 437 2453
748 749 3730
118 579 2249
347 888 2040
245 681 4161
37 595 4631
263 488 400
134 421 876
475 949 3093
200 612 2486
899 655 2158
673 609 1085
376 69 871
160 248 1175
308 263 4412
168 248 2870
348 146 2368
108 932 1179
246 397 2160
900 468 4085
166 17 3946
600 241 743
384 939 251
339 513 4901
316 195 427
100 841 1584
632 50 3760
869 599 4893
418 662 3908
494 821 263
871 809 789
869 639 895
487 173 2247
692 258 4423
327 935 1205
461 280 4163
876 428 1728
310 620 1341
585 694 551
494 875 4556
374 647 3265
1 626 3456
843 376 4960
430 893 3140
733 27 3540
526 245 3314
249 455 4104
898 965 4668
652 644 492
869 898 2589
258 335 3411
183 350 999
947 873 4764
125 655 2097
358 671 3861
388 343 16
939 198 707
774 229 2533
566 833 1667
507 776 1825
177 49 3632
224 873 4829
148 46 2199
655 990 2878
206 432 1466
141 81 1731
404 326 1555
1000 826 1306
286 296 4571
764 628 1281
810 967 1377
269 294 1608
983 673 1413
449 186 3975
757 235 1914
834 26 1813
859 249 2692
730 413 2320
187 639 4389
171 165 2316
33 822 1085
659 304 1898
574 746 618
767 423 2914
815 384 2598
236 166 1741
951 379 4143
817 245 2947
908 262 4816
585 605 107
810 918 922
403 438 4109
277 144 530
499 981 602
417 169 4823
636 757 1548
894 653 799
981 394 175
316 58 4979
164 783 678
603 847 3594
882 369 1267
449 995 4177
205 135 1840
910 428 1184
637 450 3026
920 641 2844
901 39 1928
987 694 3942
434 314 2074
538 281 1461
450 297 2981
417 917 3724
355 100 521
202 717 255
133 694 149
843 716 4586
214 952 1267
987 646 3457
386 6 3958
352 738 3905
469 827 3803
299 954 292
542 216 4902
743 898 67
94 440 1551
23 384 1141
747 99 375
382 37 2551
549 535 4137
345 305 507
713 678 1246
147 86 4935
46 676 1595
711 490 3980
150 205 1507
500 143 1772
112 507 2851
229 176 2156
511 164 2214
932 771 2604
62 818 2168
109 636 784
143 392 4208
774 931 2369
288 471 1436
693 743 3914
15 211 3624
526 717 2558
938 499 835
521 543 4508
567 223 296
365 506 205
579 446 1371
818 691 2593
629 710 199
717 943 1867
385 699 1821
542 460 1297
332 761 4816
6 455 3496
396 463 186
313 885 2829
359 543 883
519 239 584
400 925 3362
428 420 92
126 432 546
368 883 2911
399 373 1713
356 762 1612
496 369 3159
166 871 380
175 110 1299
173 447 3252
761 906 3829
271 768 3220
464 761 874
144 730 1073
943 222 396
641 988 4738
657 304 3549
2 704 4895
936 154 657
549 583 1493
51 477 1588
463 291 4066
158 793 3822
697 897 786
582 678 194
174 189 2476
839 70 1774
302 308 2562
523 905 1451
589 557 3448
446 378 2524
974 746 2767
458 804 1142
432 81 2248
334 864 1412
866 79 2650
941 992 1668
517 797 4164
248 127 1386
978 299 4208
628 382 569
395 20 1803
994 880 51
117 627 4093
643 241 3859
963 757 3566
467 247 4281
155 577 1816
914 478 4922
807 16 2562
13 870 2418
472 513 1089
700 25 4255
105 320 534
651 536 1891
67 53 2536
722 377 2864
583 619 3365
660 778 1834
847 596 3687
145 446 2082
853 649 4525
734 688 1938
657 263 2866
97 545 3616
178 954 2224
310 670 2474
546 460 117
928 3 2492
543 19 1274
415 949 1352
79 110 2414
183 442 4028
669 914 3108
401 472 4138
487 541 2812
266 113 1439
334 8 576
165 775 230
620 211 3639
86 911 4568
5 391 2582
191 635 2707
740 207 3393
559 730 194
698 452 709
419 819 4431
329 694 3060
216 108 3429
824 55 852
59 990 331
184 150 3582
231 902 2257
329 737 571
79 480 2724
62 125 1962
496 691 1872
819 613 2765
534 369 3548
1 354 2216
768 208 3289
740 107 3368
205 244 344
997 42 3022
357 874 4291
515 481 2576
950 965 2731
293 142 512
757 735 2382
56 75 4712
100 30 3260
708 371 4750
685 33 2280
367 765 3137
732 762 99
395 946 2812
643 856 1255
968 838 2888
262 187 3762
573 545 2463
766 263 4595
186 127 3866
476 160 4050
593 171 2806
660 480 942
88 733 3450
826 963 4083
271 420 294
660 99 1639
204 124 886
127 138 4737
558 688 1394
550 333 1419
258 77 2686
547 994 715
917 348 986
40 573 2453
151 329 1582
786 756 2758
183 429 1642
987 468 2552
403 726 397
432 274 1754
212 984 1086
750 357 259
516 865 2310
845 218 4619
285 538 372
881 594 2541
724 198 3789
771 222 35
774 553 545
444 473 2009
581 957 2302
223 866 3990
859 386 2464
761 86 2059
443 421 683
109 615 279
20 917 32
968 401 1587
339 341 1803
79 735 1521
514 687 1180
346 571 266
330 656 4354
927 385 3185
606 662 416
952 980 3180
255 90 1310
155 599 1522
310 162 3962
45 760 1069
797 601 2175
504 205 3625
275 659 3815
457 939 343
611 678 2450
379 324 3275
688 390 4335
720 66 715
318 196 4183
564 247 4003
797 644 4034
851 987 958
153 687 2024
252 572 2600
269 660 4204
382 550 4391
554 833 1604
321 190 1711
163 600 806
858 77 3958
928 146 5
95 274 4134
435 710 3414
675 970 4239
428 446 3086
858 873 1305
488 136 2890
413 847 1847
901 188 608
250 901 1616
329 7 776
466 59 4774
367 980 2478
758 558 2920
465 523 496
512 379 1246
901 441 2951
52 518 1754
158 46 2350
521 86 699
414 135 1027
280 83 2017
89 658 1050
259 829 836
438 719 3169
459 557 1544
311 689 2985
50 633 2209
893 33 1207
647 104 540
142 436 3641
834 615 4471
605 673 1483
448 755 2021
91 414 2712
42 113 1000
871 454 4249
341 344 923
571 137 4142
573 470 3470
623 535 3133
367 118 4311
633 689 1467
539 972 2601
625 319 1091
889 38 1520
631 849 619
752 588 4623
634 187 868
994 130 3264
750 811 1537
396 167 2900
219 729 2563
351 756 2726
986 188 4944
467 567 4514
899 780 2376
845 293 1701
745 464 2081
974 23 2507
940 333 4604
293 115 61
53 74 1489
305 582 2949
392 852 2661
353 64 1081
290 822 4770
862 906 4774
293 560 564
934 264 4025
752 946 4605
651 225 2169
814 835 2972
979 667 4560
580 771 429
928 501 3975
90 715 685
81 852 1369
811 197 3902
852 24 1233
914 508 297
507 71 1390
721 357 631
136 213 4822
23 794 990
929 561 3146
945 506 462
876 616 3432
233 317 2253
816 300 400
604 113 306
881 104 4908
23 614 4258
957 113 1403
574 145 4766
207 628 3858
315 866 2540
433 443 1423
39 23 3059
304 19 274
332 588 2637
223 529 4888
278 595 3334
229 32 8
401 585 1254
964 243 4835
804 874 3132
120 876 1577
132 134 3516
79 408 10
864 502 3690
778 989 4782
845 948 4071
769 374 2236
134 491 3378
750 823 1689
120 856 4789
726 299 3124
4 635 2042
949 634 4742
992 340 4145
958 523 4720
583 293 4789
180 420 3452
13 466 2217
662 330 3525
275 730 3047
307 639 4605
252 923 2783
186 715 4610
386 704 4901
752 981 3234
13 698 2895
279 537 3931
286 795 155
956 586 1459
402 535 2841
540 198 1287
673 529 3361
211 490 4645
357 257 4729
649 690 52
531 220 255
634 28 3077
922 612 3757
363 726 1121
717 14 2368
461 527 2517
655 780 3630
247 736 2572
94 280 1053
287 659 1932
960 344 3667
725 721 4886
955 564 970
726 210 4275
327 587 1721
151 196 3220
75 124 70
742 352 3934
315 791 2094
283 361 1416
579 619 2622
269 320 952
64 763 2183
501 194 3864
727 10 746
543 664 4562
63 462 799
169 773 1516
521 254 444
587 895 677
990 333 4587
816 579 2470
214 25 4101
589 301 4102
338 394 2428
745 631 4278
6 629 202
710 779 1810
316 142 1771
482 378 2539
28 360 790
18 204 4202
849 617 2403
447 542 873
423 781 4297
592 107 4001
461 847 2827
730 345 2880
783 840 4801
247 582 1301
10 957 2913
500 980 4601
138 117 1863
903 955 3978
365 757 935
243 140 231
745 154 484
606 122 1373
793 167 3000
885 791 2876
958 241 2021
541 874 3192
31 320 706
628 530 1073
592 730 1588
875 976 3249
445 680 1354
315 482 458
738 873 1096
152 964 1168
566 854 3052
216 769 833
976 244 4247
173 397 4857
995 239 673
930 523 1874
731 633 1834
602 743 3047
919 760 710
726 984 2192
790 70 4833
319 387 266
72 703 3649
789 524 607
784 152 4880
151 968 3354
267 833 1934
952 517 4177
532 48 4977
523 824 1980
696 704 2746
894 196 860
95 443 1275
588 837 1733
792 52 1359
158 431 1964
538 210 4843
91 300 14
523 412 1617
345 326 1558
920 578 1505
124 930 2143
719 541 2504
490 883 4165
457 284 806
544 141 2375
501 778 838
784 551 1297
55 407 3420
259 606 83
53 708 3434
955 754 4213
144 757 2454
894 669 1797
860 869 4749
510 298 87
277 740 632
493 669 1679
739 16 1388
796 671 2446
705 806 689
572 713 2720
268 691 383
46 821 1255
477 484 4703
990 886 1870
128 1000 3865
36 211 152
275 711 4083
902 834 1837
84 256 2497
515 259 4761
529 943 1735
714 148 2848
629 161 4207
134 739 4312
111 47 2316
60 654 2109
328 362 689
96 866 3461
612 992 2208
747 648 2574
990 789 3647
25 798 2598
245 294 2415
899 878 2038
199 13 2094
431 492 3451
343 496 2465
320 995 345
526 272 90
503 753 1845
463 684 1547
561 47 3495
236 999 1687
364 849 755
687 747 2114
923 54 2426
209 43 3968
848 997 2405
611 233 2524
339 146 262
496 202 2008
377 33 396
275 232 2632
457 788 2417
161 852 665
6 550 3114
467 550 4785
481 462 1820
132 839 2291
826 828 2439
353 804 4126
3 748 1240
707 666 4654
104 532 1068
846 288 3094
398 771 3469
305 488 835
656 420 4251
216 869 1497
545 346 1231
914 907 3415
57 348 2014
894 458 3409
667 88 4922
954 755 8
744 816 3040
45 985 3857
780 837 1553
513 471 4765
272 189 4394
242 993 4774
731 420 313
590 500 208
659 521 1311
912 846 589
801 248 3243
563 156 3431
216 573 3010
172 488 3917
630 638 4442
33 153 1442
37 454 1518
966 162 1718
179 483 2826
420 483 2111
80 572 1174
586 28 3097
520 887 2050
394 206 396
769 514 791
95 371 2161
760 818 4475
39 935 163
698 78 963
903 47 1825
129 717 1722
772 649 4132
722 146 471
376 549 3599
704 122 2355
833 211 4471
710 388 1319
753 887 137
773 848 47
895 653 4816
497 946 729
392 713 310
251 17 1511
554 27 248
670 497 4808
690 77 2344
700 566 4249
542 969 448
507 575 435
876 682 2000
107 821 634
961 719 1256
633 39 2301
458 553 2425
529 377 77
769 799 633
690 789 589
453 881 4433
772 130 4540
47 710 3719
226 770 1761
585 659 3740
325 589 3790
899 856 1578
778 152 160
702 88 2779
521 495 2264
737 831 1422
352 769 4517
311 562 4844
226 469 3766
867 189 1129
899 421 2699
169 360 4811
919 351 4427
240 519 2908
526 818 1613
678 215 4089
178 406 3991
869 973 2581
883 912 3141
242 349 4139
601 194 2922
170 264 3523
235 556 4968
572 584 774
448 864 23
503 924 675
283 685 2616
729 879 1600
837 235 1378
160 527 354
697 749 2547
852 647 3562
156 906 2893
7 344 4139
728 961 130
90 618 4452
500 698 4200
104 75 3538
952 636 388
972 114 4288
450 565 4879
586 964 4874
281 640 1108
669 916 4884
972 362 4689
963 634 4395
738 230 2129
839 244 1177
153 933 2758
148 415 384
222 72 2269
264 443 1776
696 194 40
734 949 1623
614 252 3688
930 56 4767
438 590 1230
293 563 3921
517 690 2286
867 606 2496
428 246 3734
915 553 3692
192 617 4823
737 347 4858
128 179 977
695 105 110
332 126 925
801 218 1147
667 172 2643
896 791 4396
213 406 396
145 553 1326
636 30 1435
131 18 1051
700 957 669
356 109 2936
723 161 1551
916 475 4510
513 935 123
301 492 1488
81 165 2045
444 797 2369
450 479 202
807 844 4631
334 340 2830
351 710 4461
755 453 2413
116 890 2958
723 337 988
761 190 4203
534 949 2000
315 974 4263
1 432 3606
856 902 2478
45 941 2925
927 78 894
113 999 4625
261 387 987
990 246 1771
141 104 2544
958 285 4793
847 771 4923
399 622 4371
893 173 203
41 305 4424
976 255 3396
618 308 4237
660 194 848
700 718 2527
67 90 405
851 868 500
9 504 3134
713 964 3523
749 113 1320
904 749 773
542 798 3504
979 850 3155
563 124 2755
432 529 1854
600 454 3593
893 433 3455
995 531 2394
888 493 605
490 190 126
459 532 4019
143 253 2806
154 257 1790
926 841 4092
279 735 60
391 230 2538
742 113 569
845 485 27
293 333 2178
6 911 3936
334 172 2212
328 182 402
56 605 1176
287 763 4382
677 747 3885
983 331 2116
950 999 1688
464 399 2654
8 470 2691
330 503 3387
401 971 738
982 681 453
96 779 2030
341 84 1971
545 866 3903
691 941 116
983 48 3860
976 563 3545
839 752 4665
13 876 333
233 938 3397
311 295 549
387 441 1789
944 766 1431
669 910 882
895 851 3805
392 67 916
6 698 1500
269 567 2746
457 9 4364
342 539 4583
733 819 2066
562 608 2181
219 5 26
602 228 1961
393 494 2984
851 988 901
764 977 780
897 365 3058
162 730 3651
264 148 2265
680 931 1446
331 906 4641
761 311 2793
410 656 700
349 380 1920
389 693 1754
366 322 269
694 848 4806
187 250 454
47 245 1361
453 768 1364
939 789 3194
202 160 3148
888 750 4221
274 705 1918
232 907 3568
576 309 1849
823 218 2696
882 879 1648
425 641 2404
954 851 1330
156 593 2278
699 672 3369
651 523 2606
989 49 1874
966 12 3925
318 584 4147
62 559 3556
412 188 1424
254 336 2757
603 819 1443
691 582 2085
899 745 1209
284 32 3592
860 602 2332
639 284 1032
444 126 3550
554 330 1643
534 299 4296
183 507 4973
298 530 48
606 407 3854
957 6 336
476 133 3186
556 26 2242
979 444 2945
159 510 4029
577 64 513
372 862 1432
2 494 3848
794 349 2191
707 646 95
351 20 2782
69 37 4865
122 356 1485
729 476 4649
110 404 3443
805 111 4387
245 34 2085
869 642 3802
302 83 1943
877 663 2393
697 506 3663
617 188 616
948 283 2962
879 159 2823
984 410 1796
981 224 417
245 667 2606
365 939 1764
681 313 1164
320 569 4168
260 100 1054
667 279 938
787 184 2527
958 946 4085
268 197 1001
660 739 2315
701 957 1035
162 398 212
32 839 457
730 741 4692
912 781 1607
716 86 1124
632 891 1120
330 648 198
992 400 175
180 300 4531
711 907 4157
534 219 307
592 794 1984
471 775 577
82 151 3010
141 492 4598
205 575 829
394 119 4690
834 401 4457
794 405 2742
301 150 2651
742 619 1000
101 643 376
65 910 1868
609 210 4961
467 616 3336
609 640 1362
751 981 508
439 685 796
440 93 3052
970 808 3671
378 475 3241
317 302 2936
466 196 2298
894 320 1526
334 584 188
98 29 2114
530 818 4475
750 137 2056
402 130 1623
918 669 3854
644 257 2382
271 544 2600
707 112 517
397 377 3300
478 845 4262
672 711 4145
335 661 260
199 450 3583
167 262 3434
526 867 376
309 971 3398
603 960 2864
936 269 1372
870 525 4764
572 493 4964
428 944 4360
847 434 2949
770 509 250
905 409 100
803 149 3428
850 20 1463
799 828 2277
797 492 2125
198 906 1013
528 946 3162
949 832 3629
46 263 2705
145 47 200
799 513 579
232 798 4078
269 114 1810
284 273 3218
322 421 2858
158 587 2051
705 808 4025
629 784 3688
137 629 1692
657 380 412
499 171 2363
294 196 2149
566 10 3809
38 968 4558
73 297 4477
913 535 1908
917 23 2110
143 922 377
94 166 2314
26 945 920
100 310 2382
286 51 2231
82 538 2426
462 704 2985
988 66 1605
394 824 4386
566 485 4693
386 767 4969
878 176 3101
309 888 455
628 258 2017
5 41 551
882 267 1853
734 513 2289
525 394 3921
482 894 692
132 64 1215
92 219 2720
978 474 4479
488 341 2844
872 22 1681
428 678 4651
119 486 3307
884 283 174
552 721 1142
277 672 3306
494 974 308
649 827 2990
748 688 2470
248 970 3977
752 337 4511
141 447 1321
962 269 540
821 595 977
529 889 2070
391 574 2994
598 916 3822
595 965 3648
245 616 4395
927 62 4093
67 151 2475
671 143 387
206 664 309
326 941 2129
242 529 2696
257 683 1267
816 456 2139
287 155 2211
92 729 540
146 841 1741
342 749 167
798 866 3664
443 272 2261
578 884 781
366 462 356
207 56 354
38 29 826
264 396 1549
651 300 395
689 348 2518
597 352 3155
18 403 2330
114 576 4867
515 929 2364
425 374 4694
623 381 4319
95 759 3792
567 935 1256
296 148 1068
283 946 2021
145 739 3470
950 376 559
207 566 3939
618 774 971
508 51 1102
452 537 2094
753 98 3421
464 147 4970
702 717 4440
485 551 2671
168 160 4521
279 837 411
444 122 2321
614 198 548
322 515 2913
969 414 1036
158 650 3495
280 36 1577
262 70 1084
913 772 4447
152 417 1651
306 563 1708
39 296 2389
20 96 4981
267 609 2719
974 206 3200
737 585 2181
597 400 2555
692 58 1992
358 60 4305
106 921 1580
537 136 3707
27 103 182
895 627 3897
898 462 4054
622 172 4445
559 137 1394
350 343 4644
462 662 3555
827 506 2367
960 753 4823
170 988 3248
658 909 4679
572 38 2490
229 857 741
849 432 2169
853 704 4565
203 517 422
96 531 2034
431 149 4548
490 410 741
951 183 1320
975 318 2322
235 798 2209
292 615 4310
327 911 3090
676 398 1729
420 736 3101
938 206 3704
998 325 139
599 938 2942
524 403 1879
460 52 4513
941 662 56
99 419 3819
978 449 987
764 774 1675
740 642 2210
750 883 2291
757 358 2717
289 261 147
18 959 2969
350 371 2778
751 9 1311
576 960 366
223 956 897
9 65 939
183 762 399
20 982 2360
616 505 28
531 49 2471
67 429 89
472 659 1453
530 158 1184
389 467 1370
374 566 476
747 525 35
745 385 592
860 61 514
998 918 1995
92 974 2264
202 811 3456
161 169 3091
824 517 3522
662 939 1001
351 21 1893
319 561 2461
494 113 2131
989 478 723
379 240 362
539 561 2303
265 214 2448
562 56 621
214 75 2906
543 237 4352
179 334 3812
268 802 3765
18 625 3250
927 868 3068
152 563 3612
984 542 1194
46 57 4253
728 4 3932
606 851 1915
754 160 475
387 976 1678
37 176 1857
545 476 3397
668 130 2135
52 349 1969
484 111 4251
699 24 1091
287 896 1996
938 195 3586
553 757 1293
411 979 1977
424 640 4164
592 541 3889
562 327 1908
53 994 4451
478 286 4021
139 469 4157
979 522 4584
394 191 2014
481 94 2688
326 485 544
963 781 3849
488 323 53
333 195 4893
397 754 1323
727 464 4150
292 539 4458
7 766 4109
535 150 2507
702 196 2731
310 262 1087
671 762 128
609 902 3443
157 836 4793
270 622 2133
495 423 4624
296 467 2779
427 291 1907
597 734 3324
99 181 3797
821 333 3001
320 328 1046
598 315 3724
635 27 267
223 149 1262
914 214 56
269 182 186
925 415 1154
901 281 1315
960 664 4692
663 433 558
190 8 4973
3 118 332
252 756 4366
716 440 2228
858 865 2133
150 738 3821
218 598 3619
227 882 3784
66 320 3894
163 128 3044
150 817 1738
220 688 3791
279 512 2795
708 343 743
53 617 289
459 358 1579
772 443 3502
259 773 1359
554 507 169
234 368 143
433 75 235
588 456 4404
301 280 4948
927 918 4515
53 627 862
541 838 2538
984 646 2521
375 100 2233
587 48 609
200 382 947
202 657 61
450 572 1496
705 549 315
932 574 2798
495 450 2253
753 861 416
261 510 3398
423 254 4144
808 326 1081
348 112 1711
474 292 328
744 166 2433
751 986 2619
688 488 1330
730 730 4765
12 228 3074
94 461 3633
24 594 3135
988 655 1754
463 825 2125
945 589 2823
307 118 1955
679 796 1173
557 852 1892
705 557 1313
334 133 3839
312 320 644
880 199 4022
755 207 3711
611 116 303
209 105 403
460 617 1863
25 22 3834
593 496 3676
451 125 3539
465 980 3478
463 775 2655
261 98 3745
445 401 503
16 361 4852
200 16 250
672 469 4325
717 121 1329
832 736 4482
866 288 4757
378 502 129
896 241 1853
970 397 1324
16 161 4752
735 268 1402
501 873 508
931 855 37
359 298 3604
752 888 448
255 296 3772
706 187 4258
804 185 2555
685 863 2150
754 106 1830
11 889 866
732 409 4059
296 470 4764
325 547 4688
458 125 333
811 823 491
93 421 2987
722 960 916
762 297 1220
674 570 3436
984 143 304
338 939 2561
543 633 968
771 580 12
679 217 1989
461 134 2337
946 215 2383
607 931 4632
497 906 1731
441 835 476
685 209 1076
386 52 3216
590 802 3019
80 36 3411
656 88 598
541 554 2808
817 455 3502
367 797 1863
362 874 2219
469 963 1268
538 267 1411
829 105 2547
971 931 998
866 227 2251
296 810 3336
193 533 4911
785 184 717
779 900 2456
182 51 4052
759 935 167
720 852 3719
864 141 4557
212 789 4460
660 867 3748
278 94 3910
888 473 1665
9 948 1028
937 246 4705
879 275 2104
533 123 1444
335 820 32
285 43 417
78 704 2075
605 16 3768
215 414 3362
134 429 560
133 420 393
450 509 1755
829 697 814
249 725 1039
206 316 658
404 770 2451
151 67 2851
391 558 2908
306 414 657
790 30 768
17 192 3860
931 727 3121
993 826 913
279 172 3489
948 578 3000
907 281 996
666 38 1448
450 414 1464
776 74 4006
387 593 2143
613 449 4788
56 464 1144
230 975 4276
624 486 2305
390 651 2388
884 928 417
186 468 4048
908 430 3221
724 604 1530
136 11 256
232 111 3776
245 230 2962
130 506 3783
495 707 21
662 439 2735
387 544 3027
805 823 1918
379 31 207
402 470 904
938 825 2240
759 25 1628
655 650 3115
716 80 1527
613 530 4197
450 532 2440
192 872 294
942 59 1389
684 350 4554
736 78 2655
64 550 631
587 839 4084
56 333 2587
522 154 4411
611 401 3489
837 400 532
572 544 4920
279 984 3061
886 409 567
963 18 684
278 230 4872
319 146 270
348 775 4472
890 389 2108
335 734 4682
615 370 1206
763 851 3742
962 914 4201
295 916 1852
847 691 4734
527 482 3818
171 940 1505
141 848 1320
882 517 4008
526 79 1587
889 274 4418
102 77 1388
109 230 977
765 9 4751
413 964 3357
252 847 1209
803 797 2204
89 637 1784
566 405 2192
153 504 1055
871 112 4979
952 908 4451
791 352 636
540 924 4319
546 673 2257
745 255 4702
50 743 4195
155 250 345
143 717 2130
601 354 81
900 72 2710
802 53 2391
61 406 878
631 646 1774
994 224 3037
276 779 4906
373 433 3075
819 635 4971
196 501 2095
312 229 140
892 10 3971
451 237 3431
648 55 732
286 544 2469
113 599 205
78 901 76
538 631 3472
177 363 2778
938 851 2199
286 386 1213
481 194 3714
495 257 1356
643 676 3387
615 153 1656
444 984 3629
624 16 3717
928 487 888
581 850 3350
982 89 1190
324 730 753
597 755 2333
926 108 3153
368 936 902
152 491 3050
443 531 4865
619 884 2301
262 883 4418
890 36 4644
773 8 1765
53 849 2226
212 969 3849
867 919 139
811 687 469
925 971 761
112 37 1021
612 540 1353
654 463 1892
