  Number     Name    CFNHWG0001  CVODGT0002  CPXIJU0003  CETDXH0004  CGCCDR0005  CGARWR0006  CPAKQS0007  CEZNMQ0008  CVECRX0009  CHFWUG0010  CMSONV0011  CELMFZ0012  CBIIFR0013  CAOKHQ0014  CGJAPT0015  CZUTDS0016  CJAKDJ0017  CZMWTL0018  COPJOP0019  CFPHJF0020 
 20190051  NLFJ0051      No          No          No          No          No          Yes         No          No          Yes         Yes         Yes         No          No          No          No          Yes         No          Yes         No          No     
 20190052  XSYU0052      No          No          No          No          No          Yes         No          No          Yes         Yes         Yes         No          No          Yes         No          No          No          No          Yes         No     
 20190053  QZHI0053      No          No          Yes         No          No          No          Yes         No          Yes         Yes         Yes         No          Yes         No          No          Yes         No          No          No          No     
 20190054  DPKN0054      No          Yes         No          Yes         Yes         No          Yes         No          Yes         No          No          No          No          Yes         No          No          Yes         No          No          No     
 20190055  GAVQ0055      No          Yes         No          No          No          No          Yes         Yes         No          Yes         No          No          No          No          Yes         Yes         No          Yes         No          No     
 20190056  BULK0056      Yes         Yes         Yes         No          No          No          Yes         No          No          No          Yes         No          Yes         No          No          No          No          Yes         No          No     
 20190057  FAOK0057      No          No          Yes         No          No          Yes         Yes         No          No          No          No          No          No          Yes         No          No          Yes         No          No          Yes    
 20190058  SOGO0058      No          No          Yes         No          No          No          No          Yes         No          No          No          Yes         No          No          Yes         Yes         No          No          Yes         No     
 20190059  DQSL0059      Yes         Yes         No          No          No          No          No          No          No          No          No          Yes         Yes         No          Yes         No          Yes         No          No          No     
 20190060  NKVZ0060      No          No          No          No          No          No          Yes         No          Yes         No          Yes         Yes         No          No          Yes         No          No          Yes         No          No     
 20190061  BISW0061      No          No          No          No          Yes         No          Yes         Yes         No          No          Yes         Yes         No          Yes         No          No          No          Yes         No          No     
 20190062  VWYF0062      No          No          No          No          Yes         No          Yes         No          No          No          No          Yes         No          Yes         No          No          No          No          Yes         No     
 20190063  BYNZ0063      No          No          Yes         Yes         No          No          No          No          Yes         No          No          No          No          Yes         No          No          No          Yes         No          Yes    
 20190064  VRHG0064      Yes         Yes         No          No          Yes         Yes         No          No          No          No          No          Yes         No          No          Yes         No          No          No          No          No     
 20190065  WPHQ0065      Yes         Yes         No          No          No          Yes         No          Yes         Yes         No          No          No          Yes         No          No          No          No          No          No          No     
 20190066  JSQV0066      No          No          No          No          No          No          No          No          No          Yes         Yes         Yes         No          Yes         No          No          No          Yes         No          No     
 20190067  GFES0067      No          No          No          No          No          Yes         No          No          No          No          Yes         No          Yes         No          Yes         No          Yes         No          No          No     
 20190068  XJNW0068      No          No          Yes         No          No          No          No          Yes         No          Yes         No          Yes         Yes         No          No          Yes         No          No          No          No     
 20190069  VRFV0069      Yes         No          No          Yes         No          No          No          No          No          Yes         No          Yes         No          Yes         No          Yes         No          No          No          No     
 20190070  QROM0070      No          No          No          No          Yes         Yes         No          No          No          Yes         No          No          Yes         No          No          No          No          Yes         No          No     
 20190071  ULZP0071      No          Yes         No          No          Yes         No          No          No          No          No          No          Yes         Yes         No          No          No          No          No          No          Yes    
 20190072  JFID0072      Yes         Yes         Yes         No          No          No          No          No          No          Yes         No          No          Yes         No          No          No          Yes         No          Yes         No     
 20190073  QFME0073      Yes         Yes         No          No          No          Yes         No          Yes         Yes         No          No          No          No          No          Yes         No          Yes         No          No          No     
 20190074  GKKZ0074      Yes         No          No          No          Yes         Yes         No          Yes         No          No          No          No          No          Yes         No          No          No          No          Yes         No     
 20190075  ODNM0075      No          No          No          Yes         No          Yes         No          No          Yes         No          Yes         No          No          No          No          No          No          No          No          Yes    
 20190076  TONA0076      No          No          Yes         No          No          No          No          Yes         No          No          No          Yes         No          Yes         Yes         No          No          Yes         No          No     
 20190077  WSFS0077      No          No          No          No          Yes         No          No          No          Yes         Yes         No          No          No          No          Yes         No          Yes         No          No          No     
 20190078  NKVA0078      Yes         No          No          No          No          No          No          No          No          No          No          Yes         No          No          No          Yes         Yes         No          Yes         No     
 20190079  QZPY0079      Yes         No          Yes         No          No          No          Yes         No          No          Yes         No          Yes         No          No          No          No          No          No          Yes         No     
 20190080  MMTF0080      Yes         No          No          No          No          No          No          No          No          No          Yes         No          No          Yes         No          No          Yes         No          Yes         No     
 20190081  RNGM0081      No          No          No          No          No          No          No          Yes         Yes         No          No          Yes         Yes         No          No          No          Yes         No          No          Yes    
 20190082  UFYU0082      Yes         No          No          No          No          No          No          No          No          Yes         No          No          Yes         Yes         No          No          No          Yes         No          Yes    
 20190083  PKVO0083      No          Yes         Yes         No          No          No          No          No          No          No          No          No          No          No          No          No          No          Yes         Yes         Yes    
 20190084  JLWZ0084      Yes         Yes         Yes         No          Yes         No          No          No          No          No          No          No          No          No          No          No          Yes         Yes         Yes         No     
 20190085  HNAU0085      No          No          No          No          No          No          No          Yes         Yes         Yes         No          No          Yes         No          Yes         Yes         No          No          No          No     
 20190086  PKDZ0086      No          No          No          No          No          Yes         No          No          Yes         No          Yes         No          Yes         No          No          No          No          No          Yes         Yes    
 20190087  IGGX0087      No          No          No          No          Yes         No          No          Yes         No          No          No          No          No          No          Yes         Yes         No          No          No          No     
 20190088  NEZO0088      No          No          Yes         No          Yes         Yes         No          No          No          Yes         No          No          No          No          No          No          No          No          Yes         No     
 20190089  EBSL0089      Yes         No          No          Yes         No          Yes         No          No          No          No          No          Yes         Yes         No          No          No          No          Yes         No          No     
 20190090  QWBA0090      No          No          No          No          No          No          Yes         Yes         No          No          Yes         No          Yes         No          No          No          Yes         Yes         No          Yes    
 20190091  LYOW0091      Yes         No          No          Yes         No          No          No          No          Yes         No          Yes         No          No          No          No          No          No          Yes         No          No     
 20190092  DBCD0092      No          No          Yes         No          No          No          Yes         No          No          No          No          Yes         Yes         Yes         Yes         No          No          No          No          No     
 20190093  GNGH0093      No          No          No          Yes         Yes         No          No          No          Yes         Yes         No          No          Yes         No          No          No          Yes         No          No          No     
 20190094  HYLY0094      No          No          No          No          No          Yes         No          No          Yes         Yes         No          Yes         No          Yes         No          No          Yes         No          No          No     
 20190095  SVCY0095      Yes         No          Yes         Yes         No          No          No          Yes         Yes         No          No          No          No          No          No          No          Yes         No          No          No     
 20190096  DRMA0096      No          No          No          No          No          No          No          Yes         No          No          No          No          No          No          Yes         Yes         No          Yes         Yes         No     
 20190097  QQOE0097      No          Yes         Yes         No          Yes         No          Yes         No          No          No          No          No          No          No          No          Yes         No          Yes         No          Yes    
 20190098  MQNV0098      No          Yes         No          No          No          No          No          No          No          Yes         No          No          No          Yes         No          Yes         No          No          No          Yes    
 20190099  GMTL0099      Yes         Yes         No          No          No          No          No          No          Yes         No          No          Yes         No          No          Yes         No          No          No          No          No     
 20190100  LCXN0100      No          No          No          Yes         Yes         No          Yes         No          No          No          Yes         No          Yes         No          No          Yes         No          No          No          Yes    
 20190101  LIQE0101      No          Yes         Yes         No          No          Yes         No          No          No          No          Yes         No          No          No          No          No          Yes         Yes         Yes         No     
 20190102  YWDL0102      No          Yes         Yes         Yes         No          No          Yes         No          No          No          No          No          No          Yes         No          No          No          No          No          Yes    
 20190103  LAJG0103      No          Yes         Yes         No          No          No          No          No          Yes         No          No          No          No          No          No          No          No          Yes         No          No     
 20190104  PKZA0104      No          No          No          No          No          Yes         Yes         Yes         No          No          No          No          No          No          Yes         Yes         No          No          Yes         No     
 20190105  BNXT0105      No          No          Yes         Yes         No          No          Yes         No          No          No          No          No          No          No          Yes         No          Yes         No          Yes         No     
 20190106  OOOX0106      No          Yes         No          No          No          No          No          No          Yes         No          Yes         No          No          No          No          Yes         Yes         No          No          Yes    
 20190107  WSSD0107      No          No          No          No          No          No          No          Yes         Yes         No          Yes         No          No          No          Yes         No          Yes         No          No          Yes    
 20190108  EDDV0108      No          Yes         No          No          Yes         No          Yes         No          No          Yes         No          No          No          No          No          Yes         No          No          No          Yes    
 20190109  DBYU0109      No          Yes         Yes         No          No          Yes         No          No          No          No          No          No          No          Yes         No          No          No          No          Yes         No     
 20190110  JPYB0110      No          Yes         No          No          No          No          Yes         No          Yes         No          No          No          No          Yes         Yes         No          No          Yes         No          Yes    
 20190111  PSLT0111      No          No          No          No          Yes         No          Yes         No          No          Yes         Yes         No          No          Yes         No          Yes         Yes         No          No          No     
 20190112  PXMT0112      No          No          Yes         No          No          No          No          No          Yes         No          No          Yes         Yes         No          Yes         Yes         No          No          No          Yes    
 20190113  LDCN0113      Yes         Yes         No          No          No          No          Yes         Yes         No          No          Yes         No          No          No          No          No          Yes         No          No          No     
 20190114  XYSB0114      No          Yes         No          No          No          Yes         No          No          Yes         Yes         No          No          No          No          Yes         No          No          No          Yes         No     
 20190115  TPGB0115      No          No          No          No          Yes         Yes         No          No          Yes         No          No          No          Yes         No          No          No          No          Yes         No          No     
 20190116  ZHTM0116      No          No          No          No          Yes         No          No          No          Yes         Yes         No          No          No          No          Yes         No          No          Yes         Yes         Yes    
 20190117  CMSU0117      No          No          No          No          No          Yes         No          No          Yes         No          Yes         No          No          No          Yes         Yes         Yes         No          No          No     
 20190118  QDZG0118      No          No          No          No          Yes         No          Yes         No          No          No          No          No          No          No          No          Yes         No          Yes         No          Yes    
 20190119  WPYW0119      Yes         No          No          No          No          No          No          No          No          No          Yes         No          No          No          Yes         Yes         Yes         Yes         No          No     
 20190120  TPAE0120      No          No          No          No          No          No          Yes         No          No          No          Yes         Yes         No          Yes         No          No          No          No          Yes         No     
 20190121  MGVA0121      No          No          No          No          No          No          No          Yes         No          No          No          No          Yes         No          Yes         No          Yes         Yes         No          No     
 20190122  ECVT0122      No          No          No          Yes         Yes         Yes         No          Yes         No          No          No          No          No          Yes         No          No          No          Yes         No          No     
 20190123  ZOPG0123      No          No          Yes         No          No          No          No          Yes         No          No          Yes         No          No          No          Yes         No          No          Yes         No          Yes    
 20190124  EKCC0124      Yes         No          No          No          No          Yes         Yes         Yes         No          No          No          No          No          No          No          No          No          No          No          Yes    
 20190125  TOPB0125      No          No          No          No          Yes         No          Yes         Yes         No          Yes         No          Yes         No          No          No          No          No          No          No          Yes    
 20190126  UHBU0126      No          No          No          No          Yes         No          Yes         No          No          No          Yes         Yes         No          No          No          No          Yes         Yes         No          No     
 20190127  GBWR0127      No          Yes         No          Yes         No          No          No          No          No          No          No          Yes         Yes         Yes         Yes         No          No          No          Yes         No     
 20190128  WCQP0128      No          No          No          No          Yes         Yes         No          No          No          Yes         No          Yes         No          No          No          Yes         Yes         No          No          No     
 20190129  YCFO0129      No          No          Yes         No          No          Yes         Yes         No          Yes         No          No          Yes         No          No          Yes         No          No          Yes         No          No     
 20190130  YZVW0130      Yes         No          No          No          No          Yes         No          No          No          No          No          Yes         No          No          No          No          No          Yes         Yes         No     
 20190131  GDBO0131      No          No          No          No          Yes         No          No          Yes         No          No          Yes         No          Yes         No          No          No          No          Yes         No          No     
 20190132  YXBK0132      Yes         No          No          Yes         Yes         No          No          No          No          No          Yes         No          No          No          No          Yes         No          No          No          Yes    
 20190133  KSKX0133      No          No          No          No          Yes         No          Yes         No          Yes         No          No          No          Yes         No          No          No          Yes         No          No          Yes    
 20190134  AYVP0134      No          No          No          No          No          No          No          No          Yes         Yes         No          No          Yes         No          No          No          Yes         Yes         Yes         No     
 20190135  LSFV0135      No          No          No          Yes         Yes         No          Yes         No          No          No          Yes         No          No          No          No          No          No          Yes         Yes         No     
 20190136  OEKV0136      No          No          No          No          No          Yes         Yes         No          No          Yes         No          No          Yes         No          No          No          Yes         Yes         No          Yes    
 20190137  UWEG0137      No          No          Yes         Yes         No          Yes         No          No          No          No          No          No          No          No          No          No          Yes         No          No          No     
 20190138  UCAL0138      Yes         No          Yes         Yes         Yes         Yes         No          No          No          Yes         No          No          No          No          No          No          No          No          No          No     
 20190139  CKCR0139      No          No          No          No          No          No          Yes         No          Yes         No          No          No          No          Yes         No          Yes         Yes         No          No          No     
 20190140  RQQI0140      No          No          Yes         No          Yes         No          No          No          No          No          No          Yes         Yes         Yes         No          No          No          No          Yes         Yes    
 20190141  ORNB0141      No          No          No          Yes         No          No          Yes         No          No          No          No          Yes         No          No          No          No          Yes         Yes         Yes         No     
 20190142  OOLR0142      No          No          Yes         No          Yes         No          Yes         No          Yes         Yes         Yes         No          No          Yes         No          No          No          No          No          No     
 20190143  CRFB0143      No          Yes         Yes         Yes         No          No          No          No          No          No          No          Yes         Yes         Yes         No          No          No          Yes         No          No     
 20190144  QLAY0144      Yes         No          No          No          No          Yes         Yes         No          No          No          No          No          Yes         No          Yes         Yes         No          No          No          Yes    
 20190145  WVSA0145      No          No          No          No          No          No          Yes         Yes         No          No          No          No          Yes         No          No          No          Yes         Yes         Yes         No     
 20190146  AOHU0146      No          Yes         No          Yes         No          No          No          No          No          No          No          No          No          Yes         No          No          No          No          No          No     
 20190147  HZIA0147      No          Yes         Yes         No          No          No          No          No          No          Yes         No          No          Yes         Yes         No          Yes         Yes         No          No          No     
 20190148  POIB0148      No          Yes         Yes         No          No          Yes         No          No          No          No          Yes         No          No          No          No          Yes         No          No          No          No     
 20190149  PDHK0149      No          No          No          Yes         No          Yes         No          No          Yes         No          No          Yes         No          No          No          No          Yes         No          No          No     
 20190150  FSYF0150      No          No          Yes         Yes         No          No          No          No          No          Yes         No          No          Yes         No          No          Yes         No          Yes         Yes         No     
 20190151  AEDJ0151      No          Yes         No          No          No          No          No          Yes         Yes         No          No          No          No          Yes         Yes         No          No          No          No          Yes    
 20190152  HINX0152      No          No          No          Yes         No          No          No          Yes         No          No          No          No          No          Yes         No          No          No          Yes         Yes         No     
 20190153  DIPT0153      No          Yes         No          Yes         Yes         No          No          No          No          No          No          No          Yes         No          Yes         Yes         No          No          No          No     
 20190154  ZCPL0154      No          No          Yes         No          Yes         Yes         Yes         No          Yes         No          No          No          No          No          No          Yes         No          No          No          No     
 20190155  IMOD0155      Yes         Yes         No          No          No          No          No          Yes         Yes         No          No          No          No          No          No          No          Yes         No          No          No     
 20190156  YXYH0156      No          No          No          No          Yes         No          No          No          No          Yes         No          No          No          Yes         Yes         Yes         No          Yes         Yes         No     
 20190157  DSUC0157      Yes         No          No          No          Yes         No          No          Yes         No          No          Yes         No          No          No          No          No          No          No          Yes         No     
 20190158  IRCN0158      No          No          No          No          No          No          Yes         No          No          No          No          Yes         Yes         No          Yes         No          No          No          Yes         No     
 20190159  AFXR0159      No          No          Yes         No          Yes         No          Yes         No          Yes         No          Yes         No          No          No          No          No          No          Yes         No          No     
 20190160  NGMG0160      No          No          No          No          No          Yes         Yes         Yes         Yes         No          No          No          No          No          No          No          No          No          No          Yes    
 20190161  TCVP0161      No          No          No          No          Yes         No          No          No          No          No          No          Yes         No          No          Yes         Yes         No          No          Yes         Yes    
 20190162  UIHL0162      No          No          No          No          No          No          No          Yes         No          No          No          No          Yes         No          Yes         Yes         No          No          Yes         No     
 20190163  XYKU0163      No          No          Yes         No          No          No          No          No          No          No          No          No          No          No          Yes         Yes         No          Yes         Yes         No     
 20190164  DIHO0164      No          Yes         No          No          No          Yes         No          No          No          Yes         No          No          No          No          Yes         No          Yes         No          No          Yes    
 20190165  ZVHK0165      No          Yes         Yes         No          No          Yes         No          No          Yes         No          No          No          No          No          No          No          No          No          No          Yes    
 20190166  OICL0166      No          No          No          No          Yes         No          No          No          No          No          Yes         No          No          No          Yes         No          Yes         Yes         No          Yes    
 20190167  FIBJ0167      Yes         No          Yes         No          No          No          Yes         No          Yes         Yes         No          No          Yes         No          No          No          Yes         No          No          No     
 20190168  LSAE0168      Yes         Yes         No          No          No          No          No          No          No          No          No          Yes         Yes         Yes         No          No          Yes         Yes         No          No     
 20190169  KJNL0169      No          Yes         Yes         No          No          No          Yes         Yes         No          Yes         No          No          No          No          No          No          No          No          No          No     
 20190170  DGZR0170      No          Yes         Yes         No          Yes         Yes         Yes         No          No          No          No          No          Yes         No          No          No          Yes         No          No          No     
 20190171  SOLQ0171      No          Yes         No          No          Yes         No          No          No          No          No          Yes         No          No          Yes         No          No          No          No          Yes         No     
 20190172  DFEU0172      No          Yes         No          No          No          No          Yes         No          No          Yes         Yes         No          Yes         No          No          No          No          No          Yes         Yes    
 20190173  YBHG0173      No          No          No          Yes         No          Yes         No          No          Yes         No          Yes         No          Yes         No          No          No          No          No          No          Yes    
 20190174  KDQW0174      No          No          No          Yes         Yes         Yes         Yes         No          No          No          Yes         No          No          No          No          No          No          Yes         No          No     
 20190175  DMSB0175      No          Yes         No          No          No          No          No          No          No          Yes         No          No          Yes         No          No          No          Yes         No          Yes         Yes    
 20190176  JTYR0176      No          No          No          Yes         Yes         No          Yes         Yes         No          No          Yes         No          No          No          Yes         No          No          Yes         No          No     
 20190177  VQWJ0177      No          No          No          Yes         No          No          No          No          Yes         No          No          No          No          Yes         Yes         Yes         No          Yes         No          No     
 20190178  GNBH0178      Yes         No          Yes         No          No          Yes         No          Yes         No          No          No          No          Yes         No          No          No          Yes         No          No          No     
 20190179  GEWS0179      No          No          No          Yes         No          No          No          Yes         Yes         No          Yes         No          Yes         Yes         No          No          No          No          No          No     
 20190180  WXJZ0180      No          Yes         No          No          Yes         No          Yes         No          No          No          No          No          Yes         No          No          Yes         Yes         No          No          No     
 20190181  TDKJ0181      Yes         No          Yes         Yes         No          No          No          No          Yes         Yes         No          No          No          No          No          No          No          No          No          No     
 20190182  YCWA0182      No          No          No          No          No          No          No          No          No          No          No          Yes         Yes         Yes         No          No          No          No          Yes         Yes    
 20190183  JISP0183      Yes         Yes         Yes         Yes         No          No          No          No          No          No          No          No          No          No          No          Yes         No          No          Yes         No     
 20190184  AKHJ0184      No          Yes         Yes         No          No          Yes         Yes         Yes         No          No          No          No          No          No          No          Yes         No          No          No          No     
 20190185  EWAK0185      No          No          No          No          Yes         Yes         Yes         No          No          Yes         Yes         No          No          No          Yes         Yes         No          No          No          No     
 20190186  UIUL0186      No          Yes         No          No          No          Yes         No          No          No          Yes         Yes         No          No          No          No          No          No          No          No          Yes    
 20190187  VKGC0187      No          No          No          No          Yes         Yes         No          No          Yes         No          No          No          No          Yes         No          No          Yes         Yes         No          No     
 20190188  VLWT0188      No          Yes         No          No          Yes         Yes         No          No          Yes         No          No          No          No          No          No          Yes         No          No          Yes         No     
 20190189  JPNW0189      No          No          No          Yes         No          Yes         No          Yes         Yes         Yes         Yes         No          No          No          No          No          No          No          Yes         No     
 20190190  NYUG0190      No          No          Yes         No          Yes         No          No          Yes         No          No          No          No          No          Yes         Yes         No          No          Yes         No          No     
 20190191  SYTY0191      Yes         No          Yes         No          Yes         No          No          No          No          Yes         No          No          No          No          No          Yes         No          No          No          No     
 20190192  XEPG0192      No          Yes         No          No          No          No          No          No          No          Yes         Yes         Yes         No          Yes         No          No          No          No          No          No     
 20190193  XNJE0193      No          Yes         Yes         No          No          No          No          No          No          Yes         Yes         No          No          Yes         No          No          Yes         No          No          No     
 20190194  GYDS0194      No          No          No          No          No          Yes         Yes         No          No          Yes         No          No          No          Yes         No          Yes         No          Yes         No          No     
 20190195  QKFS0195      Yes         No          No          No          Yes         No          Yes         No          No          Yes         Yes         No          No          No          Yes         No          No          No          No          No     
 20190196  RDZL0196      No          No          No          Yes         No          No          No          No          No          Yes         Yes         Yes         Yes         No          No          Yes         No          Yes         No          No     
 20190197  YBVS0197      No          Yes         Yes         Yes         No          No          Yes         Yes         No          Yes         No          No          Yes         No          No          No          No          No          No          No     
 20190198  BNFV0198      No          Yes         Yes         No          No          Yes         Yes         No          Yes         No          No          No          No          No          No          Yes         No          No          No          No     
 20190199  JRAG0199      No          No          Yes         No          No          No          No          No          Yes         No          No          Yes         No          No          No          Yes         No          No          Yes         Yes    
 20190200  XWUU0200      No          Yes         No          Yes         No          Yes         Yes         No          No          No          No          Yes         Yes         No          No          No          No          Yes         No          No     
 20190201  LCRC0201      No          No          Yes         No          Yes         No          Yes         Yes         No          No          Yes         No          No          No          Yes         No          No          Yes         No          No     
 20190202  YQDH0202      Yes         No          No          No          Yes         No          Yes         Yes         No          No          No          Yes         No          No          Yes         Yes         No          No          No          No     
 20190203  YDMM0203      No          No          Yes         No          Yes         No          No          No          Yes         Yes         No          No          No          No          No          Yes         Yes         Yes         No          No     
 20190204  HIDY0204      No          No          No          No          Yes         No          Yes         No          No          No          No          Yes         No          No          Yes         Yes         Yes         Yes         No          No     
 20190205  MBKS0205      No          No          No          No          Yes         No          No          No          Yes         Yes         No          Yes         No          No          No          No          Yes         No          No          Yes    
 20190206  WERV0206      No          No          Yes         No          Yes         No          No          No          No          No          No          No          No          No          Yes         No          No          Yes         Yes         No     
 20190207  BZIL0207      No          No          No          No          No          Yes         No          No          No          Yes         Yes         No          No          Yes         No          Yes         No          No          No          No     
 20190208  VJOQ0208      Yes         No          No          Yes         No          Yes         No          No          No          No          No          Yes         No          No          No          No          No          Yes         Yes         No     
 20190209  GLRB0209      Yes         No          No          No          Yes         No          Yes         No          No          No          No          No          No          No          Yes         No          No          No          Yes         Yes    
 20190210  VUXS0210      No          Yes         No          No          No          Yes         No          Yes         Yes         No          No          No          No          Yes         No          No          No          No          Yes         No     
